Strategy,RegimeFilter,Score,Trades,WinRate,ProfitFactor,Expectancy,GrossPnL,TotalCosts,NetPnL,NetProfitFactor,NetExpectancy,GrossCurrency,NetCurrency,MaxDrawdown,ReturnToDrawdown,VolMinAtr,VolMinVolume,UseSqueeze,SqueezeRatio,VolRangeMultiplier,VolExpansionMode,VwapMinDistance,RsiLongMax,RsiShortMin,VolTrailingMode,AtrChandelier,MaxBarsWithoutProfit,MinProfitAtrRatio,RangeCompression,RangeTargetRatio,MomentumMacdAtr,MomentumVolume,EmaVolume,AtrStop,TrailingBars,EmaTrailingOffset,TrendAtrStop,TrendTimeExitBars,BeActivationR,ChandelierActivationR,ChandelierTrailMultiplier,OrbAtrStop,OrbRangeStart,OrbRangeEnd,OrbMinWindowBars,OrbMinRangeAtrRatio,OrbBreakoutBuffer,OrbRequireVolume,OrbVolumeRatio,VwapReversionBand,RsiOversold,RsiOverbought,VwapReversionVolumeRatio,BbStdDev,BbFadeRsiOversold,BbFadeRsiOverbought,BbFadeTargetRatio,SessionBreakoutAtrBuffer,SessionMinRangeAtrRatio,SrsRefCandle,SrsBuffer,SrsStop,SrsTarget,SrsAntiMode,IbTargetMultiplier,IbUseHalfRangeStop,IbMinRangeRatio,IbMaxRangeRatio,IbRequireVolume
TradingBrain.ORB,Breakout|IntradayExpansion,190.72375317,36,61.11111111,2.03394646,48.01388889,1728.5,98.64,1679.18,1.99283391,46.64388889,3457,3358.36,544.5,3.08389348,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1,93000,100000,2,0.5,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,190.72375317,36,61.11111111,2.03394646,48.01388889,1728.5,98.64,1679.18,1.99283391,46.64388889,3457,3358.36,544.5,3.08389348,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1,93000,100000,2,0.2,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,190.72375317,36,61.11111111,2.03394646,48.01388889,1728.5,98.64,1679.18,1.99283391,46.64388889,3457,3358.36,544.5,3.08389348,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1.5,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,190.72375317,36,61.11111111,2.03394646,48.01388889,1728.5,98.64,1679.18,1.99283391,46.64388889,3457,3358.36,544.5,3.08389348,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,190.72375317,36,61.11111111,2.03394646,48.01388889,1728.5,98.64,1679.18,1.99283391,46.64388889,3457,3358.36,544.5,3.08389348,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,190.72375317,36,61.11111111,2.03394646,48.01388889,1728.5,98.64,1679.18,1.99283391,46.64388889,3457,3358.36,544.5,3.08389348,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1.5,93000,100000,2,0.2,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,190.72375317,36,61.11111111,2.03394646,48.01388889,1728.5,98.64,1679.18,1.99283391,46.64388889,3457,3358.36,544.5,3.08389348,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,190.72375317,36,61.11111111,2.03394646,48.01388889,1728.5,98.64,1679.18,1.99283391,46.64388889,3457,3358.36,544.5,3.08389348,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1.5,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,190.72375317,36,61.11111111,2.03394646,48.01388889,1728.5,98.64,1679.18,1.99283391,46.64388889,3457,3358.36,544.5,3.08389348,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,0.5,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,190.72375317,36,61.11111111,2.03394646,48.01388889,1728.5,98.64,1679.18,1.99283391,46.64388889,3457,3358.36,544.5,3.08389348,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1.5,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,185.78847617,36,61.11111111,2.01019805,47.46527778,1708.75,98.64,1659.43,1.96983139,46.09527778,3417.5,3318.86,544.5,3.04762167,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,185.78847617,36,61.11111111,2.01019805,47.46527778,1708.75,98.64,1659.43,1.96983139,46.09527778,3417.5,3318.86,544.5,3.04762167,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.5,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,185.78847617,36,61.11111111,2.01019805,47.46527778,1708.75,98.64,1659.43,1.96983139,46.09527778,3417.5,3318.86,544.5,3.04762167,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.2,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,185.78847617,36,61.11111111,2.01019805,47.46527778,1708.75,98.64,1659.43,1.96983139,46.09527778,3417.5,3318.86,544.5,3.04762167,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,185.78847617,36,61.11111111,2.01019805,47.46527778,1708.75,98.64,1659.43,1.96983139,46.09527778,3417.5,3318.86,544.5,3.04762167,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,175.93666945,36,61.11111111,1.96262626,46.32638889,1667.75,98.64,1618.43,1.92373505,44.95638889,3335.5,3236.86,544.5,2.97232323,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2.5,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,164.13272535,36,55.55555556,1.92865362,44.83333333,1614,98.64,1564.68,1.88906314,43.46333333,3228,3129.36,569.5,2.74746269,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1,93000,100000,2,0.3,0.1,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,164.13272535,36,55.55555556,1.92865362,44.83333333,1614,98.64,1564.68,1.88906314,43.46333333,3228,3129.36,569.5,2.74746269,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1.5,93000,100000,2,0.3,0.1,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,159.82650127,36,55.55555556,1.90698336,44.28472222,1594.25,98.64,1544.93,1.86809914,42.91472222,3188.5,3089.86,569.5,2.71278314,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.1,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
