Strategy,Direction,EntryTime,ExitTime,EntryBarIndex,ExitBarIndex,EntryPrice,ExitPrice,BarsHeld,PnL,GrossPoints,NetPoints,GrossCurrency,NetCurrency,TotalCostCurrency,SlippageCostCurrency,SpreadCostCurrency,CommissionCostCurrency,Quantity,MFE,MAE,EntryReason,ExitReason,StopPrice,TargetPrice,RMultiple,RiskPoints,MAEPoints,MFEPoints,MAER,MFER,BestFavorablePrice,WorstAdversePrice,HitHalfR,HitOneR,HitOneAndHalfR,HitTwoR,HitThreeR,HitMinusHalfR,HitMinusOneR,BarsToHalfR,BarsToOneR,BarsToOneAndHalfR,BarsToTwoR,BarsToThreeR,BarsToMinusHalfR,BarsToMinusOneR
TradingBrain.Momentum,Short,2025-05-08 09:30:00,2025-05-08 11:15:00,3966,3987,21035.25,21019.75,21,15.5,15.5,14.13,31,28.26,2.74,1,0.5,1.24,1,134.25,-26.25,"Momentum forte short","MACD contra e RSI forte",21069.88848694,0,0.44747913,34.63848694,26.25,134.25,0.75782756,3.87574666,20901,21061.5,true,true,true,true,true,true,false,3,3,7,8,16,1,
TradingBrain.Momentum,Short,2025-05-09 10:20:00,2025-05-09 10:55:00,4252,4259,21102.5,21065.25,7,37.25,37.25,35.88,74.5,71.76,2.74,1,0.5,1.24,1,122,-11.5,"Momentum forte short","Chandelier trail short",21144.39830486,0,0.88905745,41.89830486,11.5,122,0.27447411,2.91181231,20980.5,21114,true,true,true,true,false,false,false,1,1,1,3,,,
TradingBrain.Momentum,Long,2025-05-13 09:40:00,2025-05-13 13:55:00,4448,4499,21990,22219.5,51,229.5,229.5,228.13,459,456.26,2.74,1,0.5,1.24,1,280,-21.5,"Momentum forte long","Chandelier trail long",21952.51382926,0,6.12225777,37.48617074,21.5,280,0.57354485,7.46942124,22270,21968.5,true,true,true,true,true,true,false,2,2,3,4,5,1,
TradingBrain.Momentum,Short,2025-05-14 09:00:00,2025-05-14 09:30:00,4716,4722,22242.5,22318.25,6,-75.75,-75.75,-77.12,-151.5,-154.24,2.74,1,0.5,1.24,1,8.5,-76,"Momentum forte short","Stop short",22265.59930546,0,-3.27931938,23.09930546,76,8.5,3.29014221,0.36797643,22234,22318.5,false,false,false,false,false,true,true,,,,,,2,3
TradingBrain.Momentum,Long,2025-05-14 09:35:00,2025-05-14 09:45:00,4723,4725,22297,22232.25,2,-64.75,-64.75,-66.12,-129.5,-132.24,2.74,1,0.5,1.24,1,7.5,-97,"Momentum forte long","Stop long",22264.10129658,0,-1.96816267,32.89870342,97,7.5,2.94844447,0.22797251,22304.5,22200,false,false,false,false,false,true,true,,,,,,1,1
TradingBrain.Momentum,Short,2025-05-14 09:50:00,2025-05-14 10:50:00,4726,4738,22225,22283.5,12,-58.5,-58.5,-59.87,-117,-119.74,2.74,1,0.5,1.24,1,29.25,-68,"Momentum forte short","Stop short",22267.51665503,0,-1.37593138,42.51665503,68,29.25,1.59937323,0.68796569,22195.75,22293,true,false,false,false,false,true,true,1,,,,,1,3
TradingBrain.Momentum,Short,2025-05-16 09:00:00,2025-05-16 09:15:00,4992,4995,22368.75,22392.75,3,-24,-24,-25.37,-48,-50.74,2.74,1,0.5,1.24,1,1.75,-30.25,"Momentum forte short","Stop short",22391.19146538,0,-1.06944888,22.44146538,30.25,1.75,1.34795119,0.07798065,22367,22399,false,false,false,false,false,true,true,,,,,,1,3
TradingBrain.Momentum,Short,2025-05-16 09:30:00,2025-05-16 10:50:00,4998,5014,22350.25,22317.75,16,32.5,32.5,31.13,65,62.26,2.74,1,0.5,1.24,1,107.25,-29.75,"Momentum forte short","Chandelier trail short",22381.53978172,0,1.03867775,31.28978172,29.75,107.25,0.95078963,3.42763657,22243,22380,true,true,true,true,true,true,false,1,2,12,14,14,1,
TradingBrain.Momentum,Short,2025-05-20 09:25:00,2025-05-20 09:50:00,5201,5206,22335.75,22335.75,5,-0,-0,-1.37,-0,-2.74,2.74,1,0.5,1.24,1,58.75,-27,"Momentum forte short","Stop BE short",22359.95110489,0,-0,24.20110489,27,58.75,1.11565154,2.42757512,22277,22362.75,true,true,true,true,false,true,true,2,4,4,4,,1,3
TradingBrain.Momentum,Short,2025-05-20 09:55:00,2025-05-20 10:35:00,5207,5215,22317.5,22362.5,8,-45,-45,-46.37,-90,-92.74,2.74,1,0.5,1.24,1,32,-50.5,"Momentum forte short","MACD contra e RSI forte",22360.6895569,0,-1.04191854,43.1895569,50.5,32,1.16926414,0.74091985,22285.5,22368,true,false,false,false,false,true,true,1,,,,,5,8
TradingBrain.Momentum,Short,2025-05-21 09:25:00,2025-05-21 09:30:00,5477,5478,22202.5,22242.75,1,-40.25,-40.25,-41.62,-80.5,-83.24,2.74,1,0.5,1.24,1,2.5,-65.5,"Momentum forte short","Stop short",22230.27019106,0,-1.44939586,27.77019106,65.5,2.5,2.3586442,0.09002459,22200,22268,false,false,false,false,false,true,true,,,,,,1,1
TradingBrain.Momentum,Long,2025-05-21 09:40:00,2025-05-21 13:00:00,5480,5520,22286.5,22426.75,40,140.25,140.25,138.88,280.5,277.76,2.74,1,0.5,1.24,1,195,-7.75,"Momentum forte long","Chandelier trail long",22249.63407079,0,3.80432565,36.86592921,7.75,195,0.2102212,5.28943673,22481.5,22278.75,true,true,true,true,true,false,false,1,2,4,4,16,,
TradingBrain.Momentum,Long,2025-05-22 09:00:00,2025-05-22 09:30:00,5748,5754,22125.75,22046.75,6,-79,-79,-80.37,-158,-160.74,2.74,1,0.5,1.24,1,24.25,-83.25,"Momentum forte long","Stop long",22081.86095635,0,-1.79999365,43.88904365,83.25,24.25,1.89682875,0.5525297,22150,22042.5,true,false,false,false,false,true,true,1,,,,,3,6
TradingBrain.Momentum,Long,2025-05-22 09:50:00,2025-05-22 10:20:00,5758,5764,22159.25,22159.25,6,0,0,-1.37,0,-2.74,2.74,1,0.5,1.24,1,94,-21,"Momentum forte long","Stop BE long",22094.72282932,0,0,64.52717068,21,94,0.3254443,1.45675068,22253.25,22138.25,true,true,false,false,false,false,false,1,2,,,,,
