Strategy,RegimeFilter,Score,Trades,WinRate,ProfitFactor,Expectancy,GrossPnL,TotalCosts,NetPnL,NetProfitFactor,NetExpectancy,GrossCurrency,NetCurrency,MaxDrawdown,ReturnToDrawdown,VolMinAtr,VolMinVolume,UseSqueeze,SqueezeRatio,VolRangeMultiplier,VolExpansionMode,VwapMinDistance,RsiLongMax,RsiShortMin,VolTrailingMode,AtrChandelier,MaxBarsWithoutProfit,MinProfitAtrRatio,RangeCompression,RangeTargetRatio,MomentumMacdAtr,MomentumVolume,EmaVolume,AtrStop,TrailingBars,EmaTrailingOffset,TrendAtrStop,TrendTimeExitBars,BeActivationR,ChandelierActivationR,ChandelierTrailMultiplier,OrbAtrStop,OrbRangeStart,OrbRangeEnd,OrbMinWindowBars,OrbMinRangeAtrRatio,OrbBreakoutBuffer,OrbRequireVolume,OrbVolumeRatio,VwapReversionBand,RsiOversold,RsiOverbought,VwapReversionVolumeRatio,BbStdDev,BbFadeRsiOversold,BbFadeRsiOverbought,BbFadeTargetRatio,SessionBreakoutAtrBuffer,SessionMinRangeAtrRatio,SrsRefCandle,SrsBuffer,SrsStop,SrsTarget,SrsAntiMode,IbTargetMultiplier,IbUseHalfRangeStop,IbMinRangeRatio,IbMaxRangeRatio,IbRequireVolume
TradingBrain.BollingerFade,Range,13.57849401,22,59.09090909,1.60471442,7.57954545,166.75,60.28,136.61,1.47420855,6.20954545,333.5,273.22,153,0.89287582,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2.5,30,60,0.6,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,13.57849401,22,59.09090909,1.60471442,7.57954545,166.75,60.28,136.61,1.47420855,6.20954545,333.5,273.22,153,0.89287582,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,1.5,30,60,0.6,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,12.40320854,25,56,1.36007551,7.63,190.75,68.5,156.5,1.28725084,6.26,381.5,313,178.25,0.87798036,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2.5,40,65,1.2,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,12.40320854,25,56,1.36007551,7.63,190.75,68.5,156.5,1.28725084,6.26,381.5,313,178.25,0.87798036,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,1.5,40,65,1.2,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,12.40320854,25,56,1.36007551,7.63,190.75,68.5,156.5,1.28725084,6.26,381.5,313,178.25,0.87798036,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,40,65,1.2,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,11.46119407,25,60,1.34556721,7.25,181.25,68.5,147,1.27313266,5.88,362.5,294,179.25,0.82008368,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2.5,40,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,11.46119407,25,60,1.34556721,7.25,181.25,68.5,147,1.27313266,5.88,362.5,294,179.25,0.82008368,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,1.5,40,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,11.46119407,25,60,1.34556721,7.25,181.25,68.5,147,1.27313266,5.88,362.5,294,179.25,0.82008368,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,40,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,11.21782279,28,60.71428571,1.41080196,6.72321429,188.25,76.72,149.89,1.31667793,5.35321429,376.5,299.78,169.75,0.88300442,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,60,0.8,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,11.21782279,28,60.71428571,1.41080196,6.72321429,188.25,76.72,149.89,1.31667793,5.35321429,376.5,299.78,169.75,0.88300442,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,1.5,35,60,0.8,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,11.21782279,28,60.71428571,1.41080196,6.72321429,188.25,76.72,149.89,1.31667793,5.35321429,376.5,299.78,169.75,0.88300442,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2.5,35,60,0.8,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,10.82632175,25,64,1.37821565,6.91,172.75,68.5,138.5,1.2952588,5.54,345.5,277,209,0.66267943,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,1.5,40,65,0.8,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,10.82632175,25,64,1.37821565,6.91,172.75,68.5,138.5,1.2952588,5.54,345.5,277,209,0.66267943,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,40,65,0.8,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
