Strategy,Trades,Wins,Losses,WinRate,MinBreakEvenRR,AverageRealizedRR,RRGap,AverageMaeStopRatio,LoserAverageMfe,StopBeThreshold,StopBeforeOneRPercent
TradingBrain.BollingerFade,25,15,10,60,0.6667,1.1467,0.48,1.02,25.95,72.6,36
TradingBrain.EMA,685,287,370,41.8978,1.3868,1.5261,0.1394,0.956,24.9365,103.65,32.7007
TradingBrain.IbBreakout,42,27,15,64.2857,0.5556,0.8814,0.3259,0.4969,65.6,180.2,16.6667
TradingBrain.Momentum,358,132,185,36.8715,1.7121,2.9298,1.2177,1.2047,25.0486,220.125,38.8268
TradingBrain.ORB,64,40,24,62.5,0.6,1.6402,1.0402,1.0716,79.625,189.5,31.25
TradingBrain.SRS,71,43,28,60.5634,0.6512,1.3855,0.7343,0.6735,14.75,48.6,21.1268
TradingBrain.Trend,91,44,39,48.3516,1.0682,1.6589,0.5907,0.7887,63.8333,261.9,19.7802
TradingBrain.Volatility,63,27,36,42.8571,1.3333,1.9216,0.5883,0.9915,34.0764,143.8,33.3333
TradingBrain.VwapReversion,61,33,28,54.0984,0.8485,1.5415,0.693,1.1037,22.4107,106.6,36.0656
