Strategy,RegimeFilter,Score,Trades,WinRate,ProfitFactor,Expectancy,GrossPnL,TotalCosts,NetPnL,NetProfitFactor,NetExpectancy,GrossCurrency,NetCurrency,MaxDrawdown,ReturnToDrawdown,VolMinAtr,VolMinVolume,UseSqueeze,SqueezeRatio,VolRangeMultiplier,VolExpansionMode,VwapMinDistance,RsiLongMax,RsiShortMin,VolTrailingMode,AtrChandelier,MaxBarsWithoutProfit,MinProfitAtrRatio,RangeCompression,RangeTargetRatio,MomentumMacdAtr,MomentumVolume,EmaVolume,AtrStop,TrailingBars,EmaTrailingOffset,TrendAtrStop,TrendTimeExitBars,BeActivationR,ChandelierActivationR,ChandelierTrailMultiplier,OrbAtrStop,OrbRangeStart,OrbRangeEnd,OrbMinWindowBars,OrbMinRangeAtrRatio,OrbBreakoutBuffer,OrbRequireVolume,OrbVolumeRatio,VwapReversionBand,RsiOversold,RsiOverbought,VwapReversionVolumeRatio,BbStdDev,BbFadeRsiOversold,BbFadeRsiOverbought,BbFadeTargetRatio,SessionBreakoutAtrBuffer,SessionMinRangeAtrRatio,SrsRefCandle,SrsBuffer,SrsStop,SrsTarget,SrsAntiMode,IbTargetMultiplier,IbUseHalfRangeStop,IbMinRangeRatio,IbMaxRangeRatio,IbRequireVolume
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,61.31493796,141,41.13475177,1.73646378,13.98758865,1972.25,386.34,1779.08,1.637131,12.61758865,3944.5,3558.16,469.25,3.79132658,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.2,3,0,3,60,0.75,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,61.01625813,148,38.51351351,1.74724318,13.04898649,1931.25,405.52,1728.49,1.63786862,11.67898649,3862.5,3456.98,369.5,4.6779161,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.05,1.2,3,0,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,59.9362241,142,42.95774648,1.69244366,13.79401408,1958.75,389.08,1764.21,1.60000204,12.42401408,3917.5,3528.42,442.25,3.98916902,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.05,1.8,3,0,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,59.55141469,138,37.68115942,1.71884984,13.04347826,1800,378.12,1610.94,1.61443577,11.67347826,3600,3221.88,339.5,4.74503682,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.2,1.2,3,0.5,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,59.41776619,137,41.60583942,1.71352835,13.75364964,1884.25,375.38,1696.56,1.61671338,12.38364964,3768.5,3393.12,438.5,3.86900798,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.2,1.2,3,0,3,60,0.75,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,58.99745813,142,42.95774648,1.6836645,13.69014085,1944,389.08,1749.46,1.59201581,12.32014085,3888,3498.92,442.25,3.95581685,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.05,2.2,3,0,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,57.35340013,143,37.76223776,1.69628021,12.89335664,1843.75,391.82,1647.84,1.59476999,11.52335664,3687.5,3295.68,369.5,4.45964817,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.2,3,0.15,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,56.26844624,143,37.76223776,1.68860807,12.76573427,1825.5,391.82,1629.59,1.58754665,11.39573427,3651,3259.18,369.5,4.4102571,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.2,3,0.3,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,54.87874342,148,37.83783784,1.68674136,12.42398649,1838.75,405.52,1635.99,1.58341535,11.05398649,3677.5,3271.98,369.5,4.42757781,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.05,1.2,3,0.3,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,54.87784767,142,42.95774648,1.64490637,13.21830986,1877,389.08,1682.46,1.55672068,11.84830986,3754,3364.92,442.25,3.80431882,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.05,1.8,3,0,3,60,0.75,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,54.35170882,132,43.93939394,1.61126397,13.46401515,1777.25,361.68,1596.41,1.53045689,12.09401515,3554.5,3192.82,417.25,3.82602756,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.2,2.2,3,0,3,60,0.75,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,54.32092444,136,43.38235294,1.61536526,13.48713235,1834.25,372.64,1647.93,1.53385317,12.11713235,3668.5,3295.86,448,3.67841518,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,2.2,3,0,3,60,0.75,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
