Strategy,RegimeFilter,Score,Trades,WinRate,ProfitFactor,Expectancy,GrossPnL,TotalCosts,NetPnL,NetProfitFactor,NetExpectancy,GrossCurrency,NetCurrency,MaxDrawdown,ReturnToDrawdown,VolMinAtr,VolMinVolume,UseSqueeze,SqueezeRatio,VolRangeMultiplier,VolExpansionMode,VwapMinDistance,RsiLongMax,RsiShortMin,VolTrailingMode,AtrChandelier,MaxBarsWithoutProfit,MinProfitAtrRatio,RangeCompression,RangeTargetRatio,MomentumMacdAtr,MomentumVolume,EmaVolume,AtrStop,TrailingBars,EmaTrailingOffset,TrendAtrStop,TrendTimeExitBars,BeActivationR,ChandelierActivationR,ChandelierTrailMultiplier,OrbAtrStop,OrbRangeStart,OrbRangeEnd,OrbMinWindowBars,OrbMinRangeAtrRatio,OrbBreakoutBuffer,OrbRequireVolume,OrbVolumeRatio,VwapReversionBand,RsiOversold,RsiOverbought,VwapReversionVolumeRatio,BbStdDev,BbFadeRsiOversold,BbFadeRsiOverbought,BbFadeTargetRatio,SessionBreakoutAtrBuffer,SessionMinRangeAtrRatio,SrsRefCandle,SrsBuffer,SrsStop,SrsTarget,SrsAntiMode,IbTargetMultiplier,IbUseHalfRangeStop,IbMinRangeRatio,IbMaxRangeRatio,IbRequireVolume
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,101.03632189,33,63.63636364,2.58785942,22.59090909,745.5,90.42,700.29,2.44110384,21.22090909,1491,1400.58,256,2.73550781,1,1.2,True,1.05,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,98.21846706,46,54.34782609,2.44715447,21.2826087,979,126.04,915.98,2.29854407,19.9126087,1958,1831.96,323.25,2.83365816,1.2,1.5,False,0.95,1.5,CandleRange,0,60,40,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,97.45103513,34,55.88235294,2.43571742,24.05882353,818,93.16,771.42,2.30682704,22.68882353,1636,1542.84,374.75,2.05849233,1.2,1.5,False,0.95,1.5,CandleRange,0.001,64,40,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,96.56730872,41,58.53658537,2.28878282,23.04878049,945,112.34,888.83,2.17312515,21.67878049,1890,1777.66,338.25,2.62773097,1.2,1.5,False,0.95,1.5,AtrAndCandleRange,0.001,60,34,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,95.05462464,54,61.11111111,2.19276511,22.28703704,1203.5,147.96,1129.52,2.08841073,20.91703704,2407,2259.04,451.25,2.50309141,1.2,1.5,False,0.95,1.5,CandleRange,0.001,60,32,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,93.51026412,26,53.84615385,2.45676906,24.625,640.25,71.24,604.63,2.32286789,23.255,1280.5,1209.26,288.75,2.09395671,1.2,1.5,False,0.95,1.5,AtrAndCandleRange,0.001,60,40,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,90.24020686,49,59.18367347,2.23564065,21.40306122,1048.75,134.26,981.62,2.12037893,20.03306122,2097.5,1963.24,392,2.50413265,1.2,1.5,False,0.95,1.5,AtrAndCandleRange,0.001,64,32,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,88.2355418,49,59.18367347,2.10693569,22.39285714,1097.25,134.26,1030.12,2.01126,21.02285714,2194.5,2060.24,451.25,2.2828144,1.2,1.5,False,0.95,1.5,CandleRange,0.001,60,34,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,86.16211143,37,56.75675676,2.27205018,21.92567568,811.25,101.38,760.56,2.15294011,20.55567568,1622.5,1521.12,327.25,2.32409473,1.2,1.5,False,0.95,1.5,CandleRange,0.001,60,36,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,85.94260154,45,57.77777778,2.16787004,21.56666667,970.5,123.3,908.85,2.06046463,20.19666667,1941,1817.7,375.5,2.42037284,1.2,1.5,False,0.95,1.5,AtrAndCandleRange,0.001,64,34,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,83.76710208,39,61.53846154,2.0901461,22.48076923,876.75,106.86,823.32,1.99820563,21.11076923,1753.5,1646.64,343.75,2.39511273,1.2,1.5,False,0.95,1.5,Atr,0.002,64,32,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,79.12699867,47,57.44680851,2.13908081,20.17021277,948,128.78,883.61,2.02653438,18.80021277,1896,1767.22,375.5,2.35315579,1.2,1.5,False,0.95,1.5,AtrAndCandleRange,0.001,62,32,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,78.69428072,52,55.76923077,2.08806162,20.375,1059.5,142.48,988.26,1.98199487,19.005,2119,1976.52,467,2.11618844,1.2,1.5,False,0.95,1.5,AtrAndCandleRange,0.001,60,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
