Strategy,Trades,Wins,Losses,WinRate,MinBreakEvenRR,AverageRealizedRR,RRGap,AverageMaeStopRatio,LoserAverageMfe,StopBeThreshold,StopBeforeOneRPercent
TradingBrain.BollingerFade,25,15,10,60,0.6667,1.1467,0.48,1.02,25.95,72.6,36
TradingBrain.EMA,252,107,133,42.4603,1.3551,1.6408,0.2856,0.904,29.4079,122.1,30.5556
TradingBrain.IbBreakout,42,27,15,64.2857,0.5556,0.8814,0.3259,0.4969,65.6,180.2,16.6667
TradingBrain.Momentum,148,55,76,37.1622,1.6909,2.8811,1.1902,1.2516,22.3355,203,43.2432
TradingBrain.ORB,64,40,24,62.5,0.6,1.6402,1.0402,1.0716,79.625,189.5,31.25
TradingBrain.SRS,71,43,28,60.5634,0.6512,1.3855,0.7343,0.6735,14.75,48.6,21.1268
TradingBrain.Trend,91,44,39,48.3516,1.0682,1.6589,0.5907,0.7887,63.8333,261.9,19.7802
TradingBrain.Volatility,133,67,65,50.3759,0.9851,1.3973,0.4122,0.9769,26.9846,148.8,35.3383
TradingBrain.VwapReversion,61,33,28,54.0984,0.8485,1.5415,0.693,1.1037,22.4107,106.6,36.0656
