Strategy,Direction,EntryTime,ExitTime,EntryBarIndex,ExitBarIndex,EntryPrice,ExitPrice,BarsHeld,PnL,GrossPoints,NetPoints,GrossCurrency,NetCurrency,TotalCostCurrency,SlippageCostCurrency,SpreadCostCurrency,CommissionCostCurrency,Quantity,MFE,MAE,EntryReason,ExitReason,StopPrice,TargetPrice,RMultiple,RiskPoints,MAEPoints,MFEPoints,MAER,MFER,BestFavorablePrice,WorstAdversePrice,HitHalfR,HitOneR,HitOneAndHalfR,HitTwoR,HitThreeR,HitMinusHalfR,HitMinusOneR,BarsToHalfR,BarsToOneR,BarsToOneAndHalfR,BarsToTwoR,BarsToThreeR,BarsToMinusHalfR,BarsToMinusOneR
TradingBrain.Trend,Short,2025-06-05 12:45:00,2025-06-05 15:30:00,7857,7890,22645.75,22532.75,33,113,113,111.63,226,223.26,2.74,1,0.5,1.24,1,219.25,-67,"Trend down confirmado","Chandelier trail short",22757.79321941,0,1.00853939,112.04321941,67,219.25,0.59798353,1.95683417,22426.5,22712.75,true,true,true,false,false,true,false,3,18,30,,,7,
TradingBrain.Trend,Short,2025-06-11 14:10:00,2025-06-11 18:30:00,8150,8190,22757.5,22814,40,-56.5,-56.5,-57.87,-113,-115.74,2.74,1,0.5,1.24,1,44.25,-80.25,"Trend down confirmado","Stop dinamico short",22861.67497111,0,-0.54235676,104.17497111,80.25,44.25,0.77033859,0.42476614,22713.25,22837.75,false,false,false,false,false,true,false,,,,,,4,
TradingBrain.Trend,Short,2025-06-20 10:20:00,2025-06-20 11:40:00,9160,9176,22622.25,22622.25,16,-0,-0,-1.37,-0,-2.74,2.74,1,0.5,1.24,1,140,-51.25,"Trend down confirmado","Stop BE short",22727.6081513,0,-0,105.3581513,51.25,140,0.48643602,1.32880084,22482.25,22673.5,true,true,false,false,false,false,false,5,6,,,,,
TradingBrain.Trend,Long,2025-06-20 14:15:00,2025-06-20 15:25:00,9207,9221,22604.5,22520,14,-84.5,-84.5,-85.87,-169,-171.74,2.74,1,0.5,1.24,1,2.75,-96.25,"Trend up confirmado","Stop dinamico long",22513.4616025,0,-0.92817978,91.0383975,96.25,2.75,1.0572462,0.03020703,22607.25,22508.25,false,false,false,false,false,true,true,,,,,,8,9
TradingBrain.Trend,Short,2025-06-27 14:25:00,2025-06-27 15:40:00,10241,10256,23372.5,23411.75,15,-39.25,-39.25,-40.62,-78.5,-81.24,2.74,1,0.5,1.24,1,66,-45.25,"Trend down confirmado","Trend virou contra short",23449.40986263,0,-0.51033767,76.90986263,45.25,66,0.58835107,0.85814742,23306.5,23417.75,true,false,false,false,false,true,false,3,,,,,15,
TradingBrain.Trend,Long,2025-07-03 10:00:00,2025-07-03 22:15:00,10944,11034,23745,23702.5,90,-42.5,-42.5,-43.87,-85,-87.74,2.74,1,0.5,1.24,1,62.75,-46.5,"Trend up confirmado","Stop dinamico long",23670.81504622,0,-0.57289245,74.18495378,46.5,62.75,0.62681174,0.84585885,23807.75,23698.5,true,false,false,false,false,true,false,17,,,,,90,
TradingBrain.Trend,Long,2025-07-09 09:30:00,2025-07-09 10:20:00,11601,11611,23731,23777.75,10,46.75,46.75,45.38,93.5,90.76,2.74,1,0.5,1.24,1,86.75,-0,"Trend up confirmado","Chandelier trail long",23688.14504194,0,1.09088895,42.85495806,0,86.75,0,2.02426986,23817.75,23731,true,true,true,true,false,false,false,1,3,4,6,,,
TradingBrain.Trend,Short,2025-07-16 09:45:00,2025-07-16 11:40:00,12360,12383,23703.5,23641.5,23,62,62,60.63,124,121.26,2.74,1,0.5,1.24,1,161.25,-48,"Trend down confirmado","Chandelier trail short",23766.03223707,0,0.9914886,62.53223707,48,161.25,0.76760408,2.57866994,23542.25,23751.5,true,true,true,true,false,true,false,1,19,19,22,,9,
TradingBrain.Trend,Long,2025-07-29 09:30:00,2025-07-29 10:00:00,13593,13599,24337.5,24273.5,6,-64,-64,-65.37,-128,-130.74,2.74,1,0.5,1.24,1,21.25,-75,"Trend up confirmado","Stop dinamico long",24302.88712186,0,-1.84902278,34.61287814,75,21.25,2.16682356,0.61393334,24358.75,24262.5,true,false,false,false,false,true,true,1,,,,,3,3
TradingBrain.Trend,Short,2025-07-29 11:25:00,2025-07-29 20:45:00,13616,13716,24170.75,24191.5,100,-20.75,-20.75,-22.12,-41.5,-44.24,2.74,1,0.5,1.24,1,42.25,-60,"Trend down confirmado","Stop dinamico short",24239.32209252,0,-0.30260124,68.57209252,60,42.25,0.87499153,0.61613987,24128.5,24230.75,true,false,false,false,false,true,false,50,,,,,4,
